date,foreign_volume,fund_volume,stock_price,bond_yield,exchange_rate
2024-12-19,-2156,-34,2435.93,2.807,1451.80
2024-12-18,3922,1003,2484.43,2.776,1451.70
2024-12-17,-7012,1415,2456.81,2.78,1438.20
2024-12-16,-4321,1423,2488.97,2.727,1438.50
2024-12-13,-1746,2608,2494.46,2.676,1436.20
2024-12-12,-227,3878,2482.12,2.7,1431.80
2024-12-11,-1413,-268,2442.51,2.69,1430.50
2024-12-10,-1067,203,2417.84,2.637,1435.50
2024-12-09,1049,2283,2360.58,2.7,1432.00
2024-12-06,-2843,3445,2428.16,2.758,1424.00
2024-12-05,-3164,1575,2441.85,2.744,1416.50
2024-12-04,-4080,1120,2464.00,2.766,1413.50
2024-12-03,5645,-3,2500.10,2.706,1417.50
